id,name
249,Nhà cửa & Vườn
229,Đồ gia dụng
239,Quần áo nữ
232,Sắc đẹp & Sức khỏe
228,Mẹ & Bé
233,Nội thất
241,Giày
245,Đồng hồ
234,Hành lý & Túi xách
231,"Trang sức, Đồng hồ & Phụ kiện"
248,Trang phục dịp đặc biệt
230,Đám cưới & Sự kiện
235,Ô tô & Xe máy
240,Quần áo nam
243,Đồ chơi & Trò chơi
244,Dụng cụ & Công nghiệp
237,Đồ dùng cho thú cưng
246,An ninh & Bảo vệ
242,Thể thao & Giải trí
238,"Máy tính, Văn phòng & Giáo dục"
247,Đồ lót & Đồ ngủ
250,Điện tử tiêu dùng
227,Cải tạo nhà & Chiếu sáng
236,Tóc giả & Tóc nối
226,Điện thoại & Viễn thông
